video_name,sample_number,source_frame_number,timestamp_seconds,roll_number,confidence,status
test_video_02.mp4,16,1350,45.000,22102037,0.795001,recognized
test_video_02.mp4,16,1350,45.000,Unknown,0.307587,unknown
test_video_02.mp4,17,1440,48.000,22102004,0.767019,recognized
test_video_02.mp4,17,1440,48.000,Unknown,0.440902,unknown
test_video_02.mp4,17,1440,48.000,22102039,0.944539,recognized
test_video_02.mp4,17,1440,48.000,22102037,0.860731,recognized
test_video_02.mp4,17,1440,48.000,22102040,0.602698,recognized
test_video_02.mp4,17,1440,48.000,Unknown,0.393575,unknown
test_video_02.mp4,18,1530,51.000,22102004,0.861683,recognized
test_video_02.mp4,18,1530,51.000,22102039,0.946112,recognized
test_video_02.mp4,18,1530,51.000,22102037,0.740322,recognized
test_video_02.mp4,18,1530,51.000,22102038,0.868754,recognized
test_video_02.mp4,18,1530,51.000,22102040,0.703733,recognized
test_video_02.mp4,18,1530,51.000,22102025,0.754135,recognized
test_video_02.mp4,18,1530,51.000,Unknown,0.122568,unknown
test_video_02.mp4,19,1620,54.000,22102039,0.952171,recognized
test_video_02.mp4,19,1620,54.000,22102037,0.822111,recognized
test_video_02.mp4,19,1620,54.000,22102040,0.875146,recognized
test_video_02.mp4,19,1620,54.000,22102038,0.789160,recognized
test_video_02.mp4,19,1620,54.000,22102004,0.930619,recognized
test_video_02.mp4,19,1620,54.000,22102025,0.772798,recognized
test_video_02.mp4,20,1710,57.000,22102039,0.972881,recognized
test_video_02.mp4,20,1710,57.000,22102004,0.879621,recognized
test_video_02.mp4,20,1710,57.000,22102038,0.836646,recognized
test_video_02.mp4,20,1710,57.000,22102040,0.736457,recognized
test_video_02.mp4,20,1710,57.000,22102037,0.630707,recognized
test_video_02.mp4,21,1800,60.000,22102004,0.746888,recognized
test_video_02.mp4,21,1800,60.000,22102039,0.970419,recognized
test_video_02.mp4,21,1800,60.000,22102038,0.910599,recognized
test_video_02.mp4,21,1800,60.000,Unknown,0.421228,unknown
